# kind	where	detail
JOIN-SPACE	p51	” | ลูกา 4:8 พระ
JOIN-SPACE	p52	ัวออกห่างจาก | “หลักความเชื
JOIN-SPACE	p52	” | ยูดา 3 {GC 5
JOIN-SPACE	p52	 ด้วยตรัสว่า | “พระคัมภีร์เ
LINE-HYPHEN	p53	อาทิตย์ให้เป็นวันนักขัต- | ฤกษ์ของรัฐตลอดทั่วทั้งจั
JOIN-SPACE	p53	จักรวรรดิโรม | (โปรดดูภาคผน
JOIN-SPACE	p55	วรณ์ 13:5-7) | (โปรดดูภาคผน
JOIN-SPACE	p57	อเฟซัส 6:17) | {GC 56.2}
LINE-HYPHEN	p58	เหสีและคนรับใช้ที่จงรัก- | ภักดีของพระองค์ข้ามเทือก
JOIN-SPACE	p58	กทั้งหลายว่า | “ถ้าใครต้องก
JOIN-SPACE	p59	รดดูภาคผนวก) | {GC 58.3}
JOIN-SPACE	p59	บลบมลทินบาป” | พระสันตะปาปา
JOIN-SPACE	p60	” นั้น | “เมามายด้วยโ
JOIN-SPACE	p60	” | วิวรณ์ 17:15
LINE-HYPHEN	p61	ญญาเกิดขึ้นกับคริสตอาณา- | จักร {GC 60.2}
JOIN-SPACE	p61	างถูกต้องว่า | “ประชากรของเ
LINE-HYPHEN	p64	งระบอบเปปาซีนั้น ชาววอล- | เดนซิสจะปรากฏอยู่ในระดับ
JOIN-SPACE	p65	” | ยูดา 3 “คริส
LINE-HYPHEN	p65	หตุโดดเด่นที่ทำให้คริสต- | จักรแท้จริงต้องแยกตัวออก
JOIN-SPACE	p65	ติของพระเจ้า | (ดูภาคผนวก) 
JOIN-SPACE	p65	มภีร์ฉบับแปล | (โปรดดูภาคผน
JOIN-SPACE	p65	รปฏิรูปศาสนา | [Reformation
LINE-HYPHEN	p66	่ พวกเขาประกาศว่า คริสต- | จักรแห่งโรมเป็นกรุงบาบิโ
LINE-HYPHEN	p69	ด้รับการสอนสั่งจากศิษยา- | ภิบาลของพวกเขา ถึงแม้ว่า
LINE-HYPHEN	p69	วกเขาท่องจำพระคริสตธรรม- | กิตติคุณมัทธิวและยอห์นได
JOIN-SPACE	p73	ตือรือร้นว่า | “พระโลหิตของ
JOIN-SPACE	p74	ล้วซ้ำอีกว่า | “ถ้าไม่มีควา
JOIN-SPACE	p74	กมาบ่อยๆ ว่า | “พระเจ้าจะยอ
JOIN-SPACE	p76	” | มัทธิว 25:40
JOIN-SPACE	p78	ยอห์น ไวคลิฟ | [John Wyclif
LINE-HYPHEN	p80	ะปาปาเรียกเก็บจากพระมหา- | กษัตริย์แห่งประเทศอังกฤษ
JOIN-SPACE	p81	รี ประกาศว่า | “แม้ว่าบิดาข
LINE-HYPHEN	p81	ะทำที่โหดเหี้ยมไร้มนุษย- | ธรรม” นี้ว่า “บ่งบอกถึงล
JOIN-SPACE	p82	วเราจะพินาศ” | D’Aubigné เล
LINE-HYPHEN	p84	าละอายไหลบ่าจนท่วมคริสต- | จักร ในเวลาเดียวกัน นักป
JOIN-SPACE	p85	พระกิตติคุณ” | แต่ผลงานยิ่ง
JOIN-SPACE	p86	ั่นอยู่บ่อยๆ | “ข้าพเจ้ายัง
LINE-HYPHEN	p86	ธรรมโดดเด่นของชาวโปรเตส- | แตนต์คือ ความรอดโดยความเ
LINE-HYPHEN	p88	ิดถึงเหตุการณ์ เขาเรียก- | ร้องคณะผู้พิจารณาเขาที่อ
JOIN-SPACE	p92	” | สดุดี 119:13
JOIN-SPACE	p98	มใจที่จะตาย” | Bonnechose, 
JOIN-SPACE	p98	” | 2 โครินธ์ 13
LINE-HYPHEN	p99	้อาวุธเหล่านี้มา อสังหา- | ริมทรัพย์ ตำแหน่งและของป
LINE-HYPHEN	p100	สภานัดทั่วไปที่เมืองคอน- | สแตนซ์ คำสั่งนี้มีขึ้นตา
LINE-HYPHEN	p100	รงพระดำเนินเข้าเมืองคอน- | สแตนซ์ด้วยความโอ่อ่าตระก
LINE-HYPHEN	p100	งานสี่คนของศาลของพระมหา- | กษัตริย์ ฝูงชนขนาดใหญ่เด
JOIN-SPACE	p101	 เขากล่าวว่า | “พี่น้องของข
JOIN-SPACE	p103	่อพิสูจน์ว่า | “ความเชื่อต้
JOIN-SPACE	p105	สเช่นนี้แล้ว | “พระราชาคณะก
JOIN-SPACE	p105	ริ่มร้องเพลง | “พระเยซู บุต
JOIN-SPACE	p106	 นำเขาไปเผา” | Bonnechose เ
JOIN-SPACE	p109	้องขึ้นมาว่า | “เราต้องการข
JOIN-SPACE	p109	อรั้นที่สุด” | {GC 114.1}
JOIN-SPACE	p109	วามหมายแล้ว” | {GC 114.5}
JOIN-SPACE	p110	ป็นคำอธิษฐาน | “พระองค์เจ้า
LINE-HYPHEN	p113	่ายโลก และในกรณีของอาชญ- | กรรม อำนาจตัดสินคดีของศา
LINE-HYPHEN	p116	ใหญ่เพื่อการปฏิรูปคริสต- | จักร และเพื่อความกระจ่าง
LINE-HYPHEN	p116	ระเจ้าและปฏิบัติตามจริย- | ธรรมอันดีของคริสเตียน บ่
LINE-HYPHEN	p116	างไกลขึ้น ด้วยชีวิตตราก- | ตรำของพวกเขาที่พอจะเอื้อ
JOIN-SPACE	p118	าและอุทานว่า | “โอ หากพระเจ
LINE-HYPHEN	p118	ขาดำเนินชีวิตอย่างเคร่ง- | ครัดด้วยการอดอาหาร การเฝ
JOIN-SPACE	p119	รักท่านก่อน” | Ibid. เล่มที
JOIN-SPACE	p120	่คุกเข่าขึ้น | “บันไดปีลาต”
JOIN-SPACE	p120	” | โรม 1:17 เขา
JOIN-SPACE	p121	” | มัทธิว 10:34
JOIN-SPACE	p122	ของคนแลกเงิน | (มัทธิว 21: 
JOIN-SPACE	p123	และเอาชนะบาป | (โปรดดูภาคผน
JOIN-SPACE	p124	ิทธิ์ที่สุด” | D’Aubigné เล
LINE-HYPHEN	p125	แพร่กระจายของมันในคริสต- | จักรได้อย่างไร พวกเขาอ่า
LINE-HYPHEN	p126	าที่ชั้นสูงของทั้งคริสต- | จักรและรัฐต่างยอมรับว่าบ
LINE-HYPHEN	p126	งตนต่อต้านอำนาจของคริสต- | จักร เขาบันทึกไว้ว่า “ข้
LINE-HYPHEN	p126	ความยิ่งใหญ่ของพระสันตะ- | ปาปา ผู้ซึ่ง...พระราชาทั
JOIN-SPACE	p127	การณ์มาแล้ว” | Ibid. เล่มที
LINE-HYPHEN	p128	ว่าเป็นคนนอกรีตแล้ว ผู้- | แทนของพระสันตะปาปาจึงสั่
JOIN-SPACE	p128	ู้แทนมีอำนาจ | “เนรเทศเขาใน
JOIN-SPACE	p128	ัพพาชนียกรรม | [กรรมที่สงฆ์
JOIN-SPACE	p128	วข้องกับเขา” | Ibid. เล่มที
LINE-HYPHEN	p128	ี่กว้างขวางและความคล่อง- | แคล่วในวาทะรวมทั้งความบร
LINE-HYPHEN	p131	์ของเจ้า เราจะบัพพาชนีย- | กรรมเจ้าและพรรคพวกทั้งหม
JOIN-SPACE	p131	ด้กลับมาอีก” | D’Aubigné, L
LINE-HYPHEN	p132	ควรได้รับการทรมานในอุดม- | การณ์ที่ศักดิ์สิทธิ์เช่น
LINE-HYPHEN	p133	ป็นพันตื่นจากความเซื่อง- | ซึมเหมือนตายมาสู่ความชื่
LINE-HYPHEN	p133	้งบรรดาดุษฎีบัณฑิตในมหา- | วิทยาลัยคาทอลิกทั้งหลายต
JOIN-SPACE	p134	ธอร์กล่าวว่า | “พวกเรารวมทั
LINE-HYPHEN	p135	นดนี้แล้วจะถูกบัพพาชนีย- | กรรม {GC 141.1}
LINE-HYPHEN	p137	มจริงแห่งยุคสำหรับคริสต- | จักรในปัจจุบันนี้ด้วย พร
JOIN-SPACE	p137	องพระองค์ว่า | “ถ้าพวกท่านเ
JOIN-SPACE	p138	่างชัดเจนว่า | “วิบัติเมื่อ
LINE-HYPHEN	p141	ให้สอบสวนคดีที่พระสันตะ- | ปาปาทรงตัดสินประหารชีวิต
JOIN-SPACE	p142	ะการแก้แค้น” | “มากกว่าด้วย
JOIN-SPACE	p142	่วมประชุมกัน | “เขามีของประ
JOIN-SPACE	p142	เขาประกาศว่า | “ความผิดของล
JOIN-SPACE	p142	แก่คนอ่อนแอ” | D’Aubigné เล
JOIN-SPACE	p144	ดขึ้นให้ได้” | Ibid. เล่มที
LINE-HYPHEN	p144	วต่อพวกเขา ในที่สุดจักร- | พรรดิทรงยอมตามคำเรียกร้อ
LINE-HYPHEN	p145	หล่านี้มายังเมืองวิตเทน- | เบิร์กและเขาได้รับภารกิจ
JOIN-SPACE	p145	ยอันน้อยนิด” | Ibid. เล่มที
LINE-HYPHEN	p146	หนึ่งเคยทำงานจำเจที่คอน- | แวนต์แห่งนี้ก็ก้าวขึ้นธร
JOIN-SPACE	p147	ับยอห์น ฮัส” | ลูเธอร์ตอบว่
JOIN-SPACE	p147	ไหวประกาศว่า | “แม้ว่าในกรุ
JOIN-SPACE	p148	กันข้าพเจ้า” | {GC 153.3}
JOIN-SPACE	p148	ึงพระเยซูว่า | “มีผีเข้าสิง
JOIN-SPACE	p149	ทอดทิ้งท่าน” | D’Aubigné เล
JOIN-SPACE	p150	ำของพระเจ้า” | D’Aubigné เล
LINE-HYPHEN	p151	ดยความอ่อนแอของเขา อุดม- | การณ์ของสัจธรรมอาจได้รับ
LINE-HYPHEN	p152	รดใส่ใจฟังการปกป้องอุดม- | การณ์เรื่องหนึ่งที่ข้าพเ
JOIN-SPACE	p153	ริสต์ตรัสว่า | ‘เราไม่ได้นำ
JOIN-SPACE	p153	าณาจักรของตน | ‘พระองค์ผู้ท
JOIN-SPACE	p154	อกให้ทราบว่า | “พระนักบวชอง
LINE-HYPHEN	p155	ปาซีทั้งหลายรู้สึกเดือด- | ดาลที่อำนาจของพวกเขาซึ่ง
LINE-HYPHEN	p155	าชาและพระราชาคณะหมดความ- | หมาย ระบอบเปปาซีต้องรับภ
LINE-HYPHEN	p156	ียว ในวันต่อมาหลังจากคำ- | ตอบของลูเธอร์ จักรพรรดิช
JOIN-SPACE	p156	รีตที่เขาสอน | “พระนักบวชเพ
JOIN-SPACE	p156	ว้นทั้งหลาย” | Ibid. เล่มที
JOIN-SPACE	p157	่ไม่เชื่อว่า | “ถ้าเราไม่ได
JOIN-SPACE	p158	ยโสสารภาพว่า | “เจ้าจะชวนเร
JOIN-SPACE	p158	เข้ามาหาเขา” | Martyn เล่มท
JOIN-SPACE	p159	์สิทธิ์แล้ว” | Ibid. เล่มที
JOIN-SPACE	p159	กข้อหนึ่งว่า | “ข้าพเจ้ายิน
LINE-HYPHEN	p159	่พระวจนะของพระเจ้านั้น-- | ไม่มีทาง” Ibid. เล่มที่ 
LINE-HYPHEN	p159	ีทางของการปลดปล่อยคริสต- | จักรและเริ่มยุคที่ใหม่แล
LINE-HYPHEN	p159	ิ้นยุคซึ่งต้องผ่านประสบ- | การณ์ที่คล้ายคลึงกัน อำน
JOIN-SPACE	p160	ใหญ่กว่ามัน” | D’Aubigné เล
JOIN-SPACE	p160	จักรพรรดิว่า | “พระเจ้าผู้ท
LINE-HYPHEN	p160	ับนักบวชที่ถูกบัพพาชนีย- | กรรมแล้วผู้นี้ ผู้ปกครอง
JOIN-SPACE	p160	น์ และพูดว่า | “ข้าพเจ้าไม่
JOIN-SPACE	p160	ถูกประณามว่า | “เป็นซาตานที
LINE-HYPHEN	p161	รวางแผน ตราบใดที่อิเล็ก- | เตอร์ไม่ทรงทราบเรื่องของ
LINE-HYPHEN	p165	่าๆ เป็นครั้งแรก วิทเทม- | บากครูสอนภาษาโบราณคนหนึ่
JOIN-SPACE	p166	รับข้าพเจ้า” | Ibid. เล่มที
LINE-HYPHEN	p167	์ในคอนแวนต์ที่เมืองไอน์- | ซีเดน ที่นี่เองเขาจะได้เ
JOIN-SPACE	p167	นิรันดร์กาล” | Ibid. เล่มที
LINE-HYPHEN	p168	ของสวิงก์ลีที่เมืองไอน์- | ซีเดนฝึกเขาให้ทำงานในขอบ
JOIN-SPACE	p169	อที่แท้จริง” | Ibid. เล่มที
LINE-HYPHEN	p170	่งทุกๆ บ้านในประเทศสวิส- | เซอร์แลนด์และโดยเฉพาะการ
JOIN-SPACE	p170	ซื้อมากขึ้น” | Ibid. เล่มที
LINE-HYPHEN	p172	ละเมิดกฎระเบียบของคริสต- | จักร การทำเช่นนี้จะคุกคา
JOIN-SPACE	p172	ี่เมืองซูริค | “ซึ่งมีความส
JOIN-SPACE	p172	้” เขาพูดว่า | “คริสต์ศาสนา
JOIN-SPACE	p173	้รับความรอด” | D’Aubigné Lo
LINE-HYPHEN	p173	เทศเยอรมนี พวกเขาตัดสิน- | ใจที่จะใช้วิธีหนามยอกเอา
JOIN-SPACE	p174	คเนียสพูดว่า | “ด้วยการใคร่
JOIN-SPACE	p175	เคร่งขรึมว่า | “ข้าพเจ้าไม่
JOIN-SPACE	p175	ะของพระเจ้า” | Ibid. เล่มที
LINE-HYPHEN	p175	งถูกตัดขาดออกไปจากคริสต- | จักร แต่ผลของการประชุมเผ
LINE-HYPHEN	p176	รไปแล้ว มีการร่ำไห้คร่ำ- | ครวญอย่างทุกข์ระทมไม่เพี
LINE-HYPHEN	p176	ียนของเขาด้วยความกระตือ- | รือร้นมากกว่าเดิม มีคนจำ
JOIN-SPACE	p178	รั้งหนึ่งว่า | “หากข้าพเจ้า
JOIN-SPACE	p179	เมืองของเรา” | Ibid. เล่มที
JOIN-SPACE	p179	องความเชื่อ” | Ibid. เล่มที
JOIN-SPACE	p181	อสัมภาษณ์เขา | [ลูเธอร์] เข
JOIN-SPACE	p181	ณ พระวิญญาณ’ | แน่นอนที่สุด
JOIN-SPACE	p181	ี่ตัวเขาเอง” | Ibid. เล่มที
LINE-HYPHEN	p183	ี่เป็นงานของซาตานที่กระ- | ตุ้นด้วยวิญญาณของการกบฏซ
LINE-HYPHEN	p183	ี่ไม่สูงไปกว่าการจินตนา- | การขึ้นเองแต่กลับมีอิทธิ
LINE-HYPHEN	p184	คริสตธรรมคัมภีร์ภาคพันธ- | สัญญาใหม่จนเสร็จสมบูรณ์แ
LINE-HYPHEN	p184	ร์มากเพียงไร ความกระตือ- | รือร้นของประชาชนที่อยากร
JOIN-SPACE	p188	งผู้คัดค้าน” | D’Aubigné เล
LINE-HYPHEN	p189	ว้นทั้งหลายที่เป็นอีแวน- | เจลิคัล [Evangelical กลุ
LINE-HYPHEN	p189	ละความผิดเก่าๆ ของคริสต- | จักร เราจะปฏิเสธเรื่องแร
LINE-HYPHEN	p189	มาก่อนอย่างถูกต้องตามกฎ- | หมายและรัฐที่เป็นอีแวนเจ
LINE-HYPHEN	p189	รียกให้ขึ้นมาปกป้องอุดม- | การณ์ของพระองค์ในยามฉุกเ
LINE-HYPHEN	p190	ทนที่ของเขา อิเล็กเตอร์- | เฟรเดอริคแห่งแคว้นแซกโซน
JOIN-SPACE	p190	กเป็นเดิมพัน | “หัวหน้าการป
JOIN-SPACE	p191	ต้องการที่จะ | “สละทิ้งทุกส
JOIN-SPACE	p192	เผาทั้งเป็น” | Ibid. เล่มที
LINE-HYPHEN	p193	ราขึ้นในรูปแบบของพระบรม- | ราชโองการ” และ “ทางออกที
JOIN-SPACE	p193	ือหรือโต้ตอบ | “พวกเขาส่งคณ
JOIN-SPACE	p193	ต่ไม่เกิดผล” | พระองค์ทรงตอ
JOIN-SPACE	p193	ะจอมเจ้านาย” | Ibid. เล่มที
JOIN-SPACE	p193	องจิตวิญญาณ” | {GC 202.4}
LINE-HYPHEN	p194	ใจในความยุติธรรมของอุดม- | การณ์ของพวกเขา พวกเขาพึ่
JOIN-SPACE	p195	สของพระเจ้า” | Ibid. เล่มที
LINE-HYPHEN	p196	นึ่งนาทีกษัตริย์เฟอร์ดิ- | นันด์จะส่งเจ้าหน้าที่ฝ่า
LINE-HYPHEN	p196	ฑิตท่านหนึ่งของพระสันตะ- | ปาปาได้เทศนากล่าวเรื่องน
LINE-HYPHEN	p196	ก เจ้าผู้ครองแคว้นอีแวน- | เจลิคัลถูกปฏิเสธการรับฟั
JOIN-SPACE	p197	ไปหน่อยหรือ” | แต่คนอื่นๆ ป
JOIN-SPACE	p197	ง่าผ่าเผยว่า | “ขอให้เจ้าผู
JOIN-SPACE	p197	ดทิ้งพวกเรา” | Ibid. เล่มที
LINE-HYPHEN	p198	หนดไว้เพื่อเข้าเฝ้าจักร- | พรรดิมาถึงแล้ว จักรพรรดิ
LINE-HYPHEN	p198	 ในโอกาสนี้ สิ่งที่จักร- | พรรดิทรงประกาศห้ามเทศนาบ
LINE-HYPHEN	p198	ทรงประกาศห้ามเทศนาบนธรร- | มาสน์กลับถูกนำมาประกาศใน
JOIN-SPACE	p199	มดร. เอค ว่า | “ท่านจะใช้เห
JOIN-SPACE	p199	ม่” คำตอบคือ | “หากจะใช้งาน
JOIN-SPACE	p200	์จะประกาศว่า | “พระเจ้าผู้เ
JOIN-SPACE	p200	กเขาอธิษฐาน” | D’Aubigné, L
JOIN-SPACE	p200	ัยของเขาเอง” | Ibid. เล่มที
JOIN-SPACE	p201	ื่อการศึกษา” | ในห้องส่วนตั
JOIN-SPACE	p201	้าด้วยถ้อยคำ | “ที่เปี่ยมด้
JOIN-SPACE	p201	ะเจ้าของเรา” | เขาพูด “และพ
JOIN-SPACE	p201	บิดาเจ้าข้า” | Ibid. เล่มที
LINE-HYPHEN	p201	งกัดกินท่านอยู่ หากอุดม- | การณ์นั้นไม่ยุติธรรม สลั
JOIN-SPACE	p204	ระสันตะปาปา” | Wylie เล่มที
LINE-HYPHEN	p204	าออกไปให้พ้นจากพระสันตะ- | ปาปาและมอบถวายแด่พระเยซู
LINE-HYPHEN	p205	ึ่งกษัตริย์เองและพระราช- | ชนนีให้ความเห็นชอบกับเรื
JOIN-SPACE	p206	ะคัมภีร์นั้น | “ไม่ใช่หลักค
JOIN-SPACE	p206	งประเทศ เบซา | [Beza] กล่าว
LINE-HYPHEN	p207	เล่ามีคำเตือนมาถึงเบอร์- | ควินแจ้งถึงภัยอันตรายที่
LINE-HYPHEN	p207	่าเอาตัวข้าพเจ้าไปประนี- | ประนอมกับคณะศาสนศาสตร์” 
LINE-HYPHEN	p208	นักบวชที่จะใช้แก้ไขสถาน- | การณ์ของฝ่ายตนได้เป็นอย่
LINE-HYPHEN	p208	ทรงพระชนม์และทรงสิ้นพระ- | ชนม์และทรงเป็นขึ้นมาจากค
LINE-HYPHEN	p209	างต่ำช้าให้กับอาณาประชา- | ราษฎร์ของปี ค.ศ. 1793 ใน
JOIN-SPACE	p210	” | ฟีลิปปี 1:12
LINE-HYPHEN	p210	กระจัด- | กระจายไปก็เที่ยวประกาศพร
JOIN-SPACE	p210	” | กิจการ 8:4 ด
LINE-HYPHEN	p211	งอย่างเคร่งครัดต่อคริสต- | จักร เขาทราบดีว่าความเชื
JOIN-SPACE	p211	พึงรังเกียจ” | Martyn เล่มท
LINE-HYPHEN	p211	ว่าเขาไม่มีทางจะเป็นบาท- | หลวงแล้ว เขาจึงหันไปศึกษ
JOIN-SPACE	p212	ขา เขาพูดว่า | “เป็นเรื่องว
LINE-HYPHEN	p213	ที่กษัตริย์ไม่อยู่ เจ้า- | หญิงตัดสินใจว่าจะต้องประ
LINE-HYPHEN	p214	ทันประเทศเยอรมนีและสวิส- | เซอร์แลนด์ พวกเขามุ่งมั่
LINE-HYPHEN	p216	ขาด้วยใจถ่อม ได้เปลี่ยน- | แปลงความโกรธให้เป็นความส
LINE-HYPHEN	p216	เป็นการกำจัดนิกายโปรเตส- | แตนต์ต่างหากซึ่งสามร้อยป
LINE-HYPHEN	p216	งการศึกษา อิทธิพลและคุณ- | ลักษณะที่ดีงาม ตำแหน่งที
JOIN-SPACE	p218	ระจำตำแหน่ง” | ด้วย “พระเศี
LINE-HYPHEN	p218	งของพิธีในวันนั้นพระมหา- | กษัตริย์ต้องขึ้นปราศรัยต
JOIN-SPACE	p218	วคร่ำครวญถึง | “ความผิดนี้ 
JOIN-SPACE	p218	าแด่พระเจ้า” | น้ำพระเนตรขอ
JOIN-SPACE	p218	าสนาคาทอลิก” | D’Aubigné, H
JOIN-SPACE	p220	ของกรุงปารีส | “อีกครั้งหนึ
LINE-HYPHEN	p223	กกาเขาจะทำงานรับใช้อุดม- | การณ์ของการปฏิรูปได้ดีกว
LINE-HYPHEN	p224	วงในการต่อต้านกับฤทธานุ- | ภาพแห่งสัจธรรม ไม่มีอาชญ
LINE-HYPHEN	p225	ราคำสั่งให้รื้อฟื้นศาสน- | ศาลขึ้นมาใหม่อีกครั้ง [I
LINE-HYPHEN	p225	ั้งอยู่ท่ามกลางศัตรูมหา- | อำนาจที่วางแผนทำลายเธอ ป
JOIN-SPACE	p226	 พวกพิวริตัน | [Puritans สม
NO-TAG	GC12_print_th.typ p220	การปฏิรูปศาสนามอบพระคัมภีร์ที่เปิดออกให้แก่โลก เปิดเผยคำสอนข
JOIN-SPACE	p229	ทศนาสั่งสอน” | Martyn เล่มท
JOIN-SPACE	p229	สอนการแปรสาร | [Transubstan
LINE-HYPHEN	p229	เขามีโอกาสศึกษาพระคริสต- | ธรรมคัมภีร์ภาคพันธสัญญาใ
LINE-HYPHEN	p230	นกลุ่มนี้ด้วยความกระตือ- | รือร้นและประสบผลอย่างสูง
LINE-HYPHEN	p230	เท่ากับที่ประเทศเนเธอร์- | แลนด์ มีไม่กี่ประเทศที่ผ
JOIN-SPACE	p231	มือนเมล็ดพืช | (โปรดดู Tert
JOIN-SPACE	p233	องถูกแช่งสาป | (กาลาเทีย 1:
JOIN-SPACE	p233	สแตนต์ที่ว่า | “พระคัมภีร์แ
LINE-HYPHEN	p234	อน สวิงก์ลีและอีโคลัมพา- | เดียสแล้ว ก็มักจะมีการแย
LINE-HYPHEN	p238	ีสิ่งใดขัดขวาง พระคริสต- | ธรรมคัมภีร์ภาคพันธสัญญาใ
LINE-HYPHEN	p240	รื่องภูตผีปีศาจของคริสต- | จักรแล้ว เพื่อรับสัจธรรม
JOIN-SPACE	p241	็นผู้ตัดสิน” | {GC 251.1}
JOIN-SPACE	p242	รู้เท่านั้น” | David Laing,
JOIN-SPACE	p242	กปฏิรูปศาสนา | [คนนี้] ซึ่ง
JOIN-SPACE	p243	วกรีมโปรแกรส | [Bunyan’s Pi
LINE-HYPHEN	p243	ันพินาศไป หนังสือของฟลา- | เวลเรื่อง เฟาเทน ออฟ ไลฟ
JOIN-SPACE	p244	” | โยบ 9:2 {GC 
LINE-HYPHEN	p248	าหมายเดียวกันเพื่อนำจิต- | วิญญาณมายังพระคริสต์ มีอ
JOIN-SPACE	p251	จะหลุดพ้นจาก | “การผูกมัดขอ
JOIN-SPACE	p251	คบกว่านี้ว่า | “การกระทำควา
JOIN-SPACE	p251	เลือกสรรแล้ว | “เพราะเป็นคุ
LINE-HYPHEN	p251	ิรบัญญัติก [ (นิ-ระ-บัน- | หยัด-ติ-กะ) Antinomian ห
JOIN-SPACE	p251	บัญญัติกนิยม | [Antinomiani
